interaction_ID	ligand_gene_name	receptor_gene_name	sending_cell_type	receiving_cell_type	mean_e_s_l_control	mean_e_s_l_case	mean_e_r_r_control	mean_e_r_r_case	log2FC_rho_s	log2FC_rho_r	log2FC_rho	log2FC_phi_s_l	log2FC_phi_r_r	log2FC_phi	log2FC_p_s_l	log2FC_p_r_r	log2FC_p	log2FC_weights	log10_cum_weight	frac_samples_controls	frac_samples_cases	passed_log10_cum_weight_filter	passed_frac_samples_filter	passed_log10_meanexpr_control_filter	passed_log10_meanexpr_case_filter	passed_log10_meanexpr_per_condition_filter	passed_QC_filter	p.value	p.adj	passed_FDR_threshold	passed_log2FC_threshold	sign
Mono:TNFSF14_Mono:LTBR	TNFSF14	LTBR	Mono	Mono	1.31191804124659	0.923883229910482	1.24353129782147	1.03376116634727	-0.454699466932972	-0.454699466932972	0.144635372319155	-4.49884248457043	0.529118017810568	-3.62192301550598	-0.485499484412446	-0.26653990548968	-0.825136918713674	-1.99312267522161	0.0179830944127016	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00136106973745993	0.0485102069797756	TRUE	TRUE	TRUE
Mono:TNFSF8_Mono:TNFRSF8	TNFSF8	TNFRSF8	Mono	Mono	1.24725211543108	1.0762146177344	1.23430124979267	0.722681786407512	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.00714309477649	-1.75340503019417	-3.83507482372784	-0.212787308755071	-0.725323437143635	-1.03594895023763	-4.71521803629002	0.0527805230183813	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00179171217908003	0.05698500322369	TRUE	TRUE	TRUE
Mono:CAMP_Mono:FPR2	CAMP	FPR2	Mono	Mono	1.24354313850776	1.01143585400101	1.26378866461336	1.12258193471448	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.316143589390659	-2.53912175124191	-2.72571136658113	-0.281316583142049	-0.170934483060839	-0.513128551283676	-2.21431592049567	0.0335700610961204	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00460439044796775	0.0787074956271188	TRUE	TRUE	TRUE
Mono:TNFSF14_Mono:TNFRSF14	TNFSF14	TNFRSF14	Mono	Mono	1.31191804124659	0.923883229910482	1.29032809199904	1.15957896280403	-0.454699466932972	-0.454699466932972	0.144635372319155	-4.49884248457043	-0.211519903682514	-4.86170926108382	-0.485499484412446	-0.154136881436009	-0.777848128754862	-3.35367922322143	0.0363952573935447	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000639264652679323	0.0333551798615743	TRUE	TRUE	TRUE
Mono:CD48_Mono:CD2	CD48	CD2	Mono	Mono	1.76236436512311	1.40179364294001	1.00893527803512	0.893842100738926	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.575657741790742	-3.04317403096047	-3.72376014035579	-0.330238242406618	-0.174741726654247	-0.554568946974055	-2.15640920971413	0.110700940504419	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00609812693921861	0.0852420274929664	TRUE	TRUE	TRUE
Mono:CD58_Mono:CD2	CD58	CD2	Mono	Mono	1.26710289358433	1.09552120529066	1.00893527803512	0.893842100738926	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.132914082895277	-3.04317403096047	-3.49072746902605	-0.209916271664572	-0.174741726654247	-0.454456549779744	-1.53940272051733	0.062121584336469	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00906436253844658	0.093580893500888	TRUE	TRUE	TRUE
Mono:VEGFA_Mono:NRP1	VEGFA	NRP1	Mono	Mono	1.35100966223411	1.25757219282505	1.08362469084828	0.548948635149354	-0.454699466932972	-0.454699466932972	0.144635372319155	0.2369281850115	-2.04047189411319	-3.43601288972125	-0.103396770166791	-0.891127996241923	-1.00411095868655	-1.68941001850077	0.0381259440013121	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00969696143194699	0.0941801725835803	TRUE	TRUE	TRUE
Mono:HP_Mono:ITGAM	HP	ITGAM	Mono	Mono	1.42845776440197	1.15288208006309	1.38419791677578	1.25972432428555	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	0.581604741504283	-1.21304604930729	-0.309213422614055	-0.135942187011856	-0.531140810597079	-2.60918683441528	0.0304020318308982	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00826401208514906	0.093371048327507	TRUE	TRUE	TRUE
Mono:HP_Mono:ITGB2	HP	ITGB2	Mono	Mono	1.42845776440197	1.15288208006309	1.89390971069282	1.91695376397761	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	-0.00428575603292317	-1.4779733532261	-0.309213422614055	0.0174479861787677	-0.319924321904174	-2.85755073679365	0.0721425199088674	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00820860569364384	0.093371048327507	TRUE	TRUE	TRUE
Mono:HP_Mono:TLR4	HP	TLR4	Mono	Mono	1.42845776440197	1.15288208006309	1.36402006454015	1.28370327669772	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	0.0906747407362889	-1.4356312984295	-0.309213422614055	-0.0875530990262958	-0.461306244330528	-2.21955022579413	0.0399028113921735	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0084049310123369	0.0935326041524541	TRUE	TRUE	TRUE
